,Tanggal,RH_avg,Tavg,RR,ss
145,24-04-2012,27.8,79,18.4,7.8
146,25-04-2012,28,81,19,6.7
147,26-04-2012,27.5,79,19.7,7.8
148,27-04-2012,27.7,80,3,7.8
149,28-04-2012,28.1,78,20.3,5.8
150,29-04-2012,25.4,92,11.4,1.7
151,30-04-2012,25.5,89,6,4.264285714285714
152,01-05-2012,26.6,88,4.3,1.6
153,02-05-2012,26.7,83,10.9,8
154,03-05-2012,26.4,88,13.2,7.1
155,04-05-2012,26.9,78,4.4,7
156,05-05-2012,27.1,83,4.5,6.3
157,06-05-2012,27.3,80,1,4.4
158,07-05-2012,24.8,93,13.2,5.5
159,08-05-2012,25.9,86,4.7,4.3
160,09-05-2012,27.7,82,4.8,6
161,10-05-2012,28,82,10,6.2
162,11-05-2012,27.7,81,5,7.6
163,12-05-2012,27.7,80,5.1,7.6
164,13-05-2012,27,77,2.2,7.9
165,14-05-2012,27.4,81,2,6.4
166,15-05-2012,26.4,86,5.3,1.7
167,16-05-2012,26.1,88,5.5,1.8
168,17-05-2012,27.8,75,5.7,8
169,18-05-2012,26.1,87,10,3.9
170,19-05-2012,27.5,80,5.8,6.6
171,20-05-2012,26.4,86,9.2,5
172,21-05-2012,26.9,84,6,6.3
173,22-05-2012,27.7,75,6.2,8
174,23-05-2012,27.5,79,6.4,7.1
175,24-05-2012,27.7,78,22.8,4.6
176,25-05-2012,26.9,78,6.6,7.5
177,26-05-2012,26.5,73,6.8,6.5
178,27-05-2012,26.9,75,7.1,8
179,28-05-2012,25.9,85,24.6,3.1
180,29-05-2012,27.3,82,7.3,6.8
181,30-05-2012,26,90,1.3,3.8
182,31-05-2012,24.4,92,11.5,0.4
183,01-06-2012,25.6,88,1.8,2
184,02-06-2012,26.2,85,1.8,4.5
185,03-06-2012,26.9,78,1.9,5
186,04-06-2012,26.6,84,2,0.3
187,05-06-2012,25.3,81,2,1.1
188,06-06-2012,25.5,90,46,2.5
189,07-06-2012,26.7,81,2.1,7.5
190,08-06-2012,28.1,78,6,6.6
191,09-06-2012,26.8,85,2.2,3.5
192,10-06-2012,27.8,82,2.2,2.6
193,11-06-2012,26,86,2.3,0.6
194,12-06-2012,26.9,80,2.4,6
195,13-06-2012,27,83,2.5,4.6
196,14-06-2012,26.7,78,2.5,7.4
197,15-06-2012,26.5,81,2.6,7.6
198,16-06-2012,26.4,75,2.7,8
199,17-06-2012,27.6,73,2.8,8
200,18-06-2012,27.4,70,2.9,8
201,19-06-2012,26.7,73,3,8
202,20-06-2012,26.4,75,3.1,7.1
203,21-06-2012,26.8,76,3.2,7.5
204,22-06-2012,26.4,84,1,5.5
205,23-06-2012,26.9,86,3.3,7.5
206,24-06-2012,27.3,78,3.4,6.6
207,25-06-2012,27.1,74,3.5,7
208,26-06-2012,26.2,76,3.6,7.4
209,27-06-2012,26.1,75,3.8,8
210,28-06-2012,26.8,73,3.9,7.4
211,29-06-2012,26.1,80,4,5
212,30-06-2012,25.8,74,4.2,7.4
213,01-07-2012,26.1,72,1,8
214,02-07-2012,25.3,75,1,7
215,03-07-2012,26.5,72,1.1,4.8
216,04-07-2012,26.1,80,1.1,5.1
217,05-07-2012,26.3,78,1.1,6
218,06-07-2012,26.2,80,1.2,0
219,07-07-2012,25.9,75,1.2,5.5
220,08-07-2012,26.1,75,1.2,8
221,09-07-2012,26.4,79,1.2,4.8
222,10-07-2012,26.8,78,1.3,6.3
223,11-07-2012,26.8,80,8,3.8
224,12-07-2012,26.8,78,1.3,8
225,13-07-2012,25.9,80,23.5,7.6
226,14-07-2012,26.4,77,1.4,5.5
227,15-07-2012,26.7,78,1.4,7.2
228,16-07-2012,26.9,75,1.4,6.7
229,17-07-2012,26.6,78,1.5,6.6
230,18-07-2012,26.7,75,1.5,5.4
231,19-07-2012,25.7,80,1.6,6.6
232,20-07-2012,27.1,77,1.6,5.4
233,21-07-2012,26.9,78,1.7,5.5
234,22-07-2012,26.9,74,1.7,8
235,23-07-2012,26.1,62,1.8,7.2
236,24-07-2012,25.9,74,1.9,5.7
237,25-07-2012,26.1,75,1.9,7.3
238,26-07-2012,26.2,76,2,6.5
239,27-07-2012,25.5,77,2,7.3
240,28-07-2012,26.6,74,2.1,7.6
241,29-07-2012,26,74,2.2,6.5
242,30-07-2012,26.5,74,2.2,6.6
243,31-07-2012,25.7,76,2.3,5.5
244,01-08-2012,25.4,76,1,7
245,02-08-2012,26.4,72,7.7,6
246,03-08-2012,25.9,72,7.9,7
247,04-08-2012,26.5,70,5,7
248,05-08-2012,27.1,72,12.2,6.4
249,06-08-2012,26.8,77,1.8,6.2
250,07-08-2012,27.3,77,8.2,7.8
251,08-08-2012,27,70,4.5,7.8
252,09-08-2012,26.1,71,16.5,7.8
253,10-08-2012,25.6,74,8.5,7.2
254,11-08-2012,26.1,76,2,6.6
255,12-08-2012,27,75,85,7.6
256,13-08-2012,26.6,78,6,6
257,14-08-2012,27,74,13.6,5.1
258,15-08-2012,26.6,65,4.5,0.6
259,16-08-2012,25.7,74,13,7.2
260,17-08-2012,26.3,68,8.7,8
261,18-08-2012,25.5,75,2.3,6.7
262,19-08-2012,28,68,0.5,8
263,20-08-2012,26.2,74,9,7
264,21-08-2012,25.7,77,2.5,5
265,22-08-2012,26.9,72,4.7,7.8
266,23-08-2012,26.7,72,0.2,6.9
267,24-08-2012,26.9,72,1.3,5.8
268,25-08-2012,26.5,68,2.8,7.6
269,26-08-2012,27.1,69,9.3,7.6
270,27-08-2012,26.2,76,9.6,5.6
271,28-08-2012,27.6,73,9.9,4
272,29-08-2012,27,82,2.6,3.3
273,30-08-2012,26.6,78,32.3,0.6
274,31-08-2012,26,78,24.3,8
275,01-09-2012,27.1,72,1,6.6
276,02-09-2012,26,74,1,7
277,03-09-2012,27.6,73,1.1,7
278,04-09-2012,26.9,71,1.1,6.3
279,05-09-2012,27.2,74,1.2,6.3
280,06-09-2012,27.5,74,1.2,7.3
281,07-09-2012,27.2,74,1.2,6.6
282,08-09-2012,28.6,76,1.3,8
283,09-09-2012,28.2,74,1.3,7.6
284,10-09-2012,29.1,80,15.8,7.8
285,11-09-2012,28.5,74,1.4,8
286,12-09-2012,27.9,71,1.4,8
287,13-09-2012,27.6,72,1.4,7.8
288,14-09-2012,27.8,73,1.5,7.6
289,15-09-2012,28.2,73,1.6,7.5
290,16-09-2012,28.7,72,1.6,8
291,17-09-2012,28.5,78,1.7,4.3
292,18-09-2012,29,89,1.7,6.4
293,19-09-2012,28.5,75,1,6
294,20-09-2012,28.8,74,1.8,4.8
295,21-09-2012,29.2,75,3.4,2
296,22-09-2012,27.8,72,1.8,5.5
297,23-09-2012,29.1,65,1.8,5.6
298,24-09-2012,28.1,78,3,4.6
299,25-09-2012,28.5,73,7.2,5
300,26-09-2012,28.2,74,1.9,3.8
301,27-09-2012,28.1,74,2,5.7
302,28-09-2012,28,74,2.1,7
303,29-09-2012,27.9,76,2.2,7.3
304,30-09-2012,29,73,2.2,6.2
305,01-10-2012,28.7,71,9.7,7
306,02-10-2012,26.3,84,28,1.3
307,03-10-2012,27.6,76,1,7.2
308,04-10-2012,26.2,82,14,6.4
309,05-10-2012,24.9,88,1,3.6
310,06-10-2012,26.8,77,10,3.9
311,07-10-2012,26.7,74,43.6,3.8
312,08-10-2012,27.4,78,10.3,4.4
313,09-10-2012,26.6,79,10.6,7.8
314,10-10-2012,27.9,74,0.5,7.8
315,11-10-2012,28.4,74,11,8
316,12-10-2012,26,84,11.3,4.2
317,13-10-2012,26.2,81,11.7,7.5
318,14-10-2012,25.6,88,11.8,4.9
319,15-10-2012,27,79,23,3
320,16-10-2012,26.7,80,12.1,6.8
321,17-10-2012,26.7,83,12,3.1
322,18-10-2012,27.5,76,23,7.8
323,19-10-2012,26,84,45,4.5
324,20-10-2012,25.5,83,2.2,5.6
325,21-10-2012,27.4,78,3.8,1.8
326,22-10-2012,26.6,82,11,8
327,23-10-2012,27.4,75,12.4,8
328,24-10-2012,27.6,71,12.9,8
329,25-10-2012,27.7,76,13.2,5.8
330,26-10-2012,28.5,77,13.7,4.5
331,27-10-2012,26.2,94,76.7,0.4
332,28-10-2012,27,81,14.2,4.4
333,29-10-2012,27.4,80,14.6,6.3
334,30-10-2012,25.8,90,1.4,2.9
335,31-10-2012,27.7,82,2,6.4
336,01-11-2012,27.8,77,21.5,7.6
337,02-11-2012,27.2,80,11.9,3.6
338,03-11-2012,26.1,91,12.3,3
339,04-11-2012,25.8,90,12.7,4.3
340,05-11-2012,27,82,1.4,2.7
341,06-11-2012,26.5,82,1.2,0.5
342,07-11-2012,26.3,85,5.5,6.5
343,08-11-2012,27,84,10,4.8
344,09-11-2012,25.8,91,13.1,2.5
345,10-11-2012,27.7,79,15,3.4
346,11-11-2012,25.6,91,1.5,4.9
347,12-11-2012,26.7,83,3.3,1.9
348,13-11-2012,25.4,92,6.8,3.1
349,14-11-2012,26.6,86,10.5,2.5
350,15-11-2012,27.2,80,0.5,5.7
351,16-11-2012,25.2,92,21.6,4.4
352,17-11-2012,27.4,84,1.5,4.3
353,18-11-2012,24.5,96,10.9,3.2
354,19-11-2012,25.3,88,3,0.2
355,20-11-2012,26.2,88,4,3.4
356,21-11-2012,24.4,91,99,3.6
357,22-11-2012,25.6,91,66,3.5
358,23-11-2012,25.1,93,37,4.8
359,24-11-2012,24.2,94,20,2.4
360,25-11-2012,26,88,13.6,2.6
361,26-11-2012,26.6,90,14,2.2
362,27-11-2012,26.9,86,14.5,4.5
363,28-11-2012,25.8,90,0.6,0.5
364,29-11-2012,27.6,78,10,6.5
365,30-11-2012,24.9,92,6,4.3
366,01-12-2012,27.7,76,7.9,5.2
367,02-12-2012,25.5,90,21.5,3.8
368,03-12-2012,26.8,82,8.1,3.8
369,04-12-2012,27,82,5.5,3.880000000000001
370,05-12-2012,27.3,76,8.4,2.4
371,06-12-2012,26.1,84,9.5,4.3
372,07-12-2012,24.9,90,8.3,2.4
373,08-12-2012,25.2,92,58.5,3.5
374,09-12-2012,26.9,83,8.6,7.6
375,10-12-2012,26.9,84,69.8,5.7
376,11-12-2012,26.9,80,8.9,1.2
377,12-12-2012,26.3,91,9.2,1.2
378,13-12-2012,26.6,84,9.5,1.7
379,14-12-2012,26.5,87,9.9,3.4
380,15-12-2012,27.4,78,10.1,7.8
381,16-12-2012,26.1,80,10.5,4.2
382,17-12-2012,26.8,81,0.8,4.2
383,18-12-2012,26.3,84,0.7,1.5
384,19-12-2012,27.5,77,10.8,6.6
385,20-12-2012,27.4,82,14.8,4
386,21-12-2012,25.5,89,4.5,4.7
387,22-12-2012,26.3,88,7.6,4
388,23-12-2012,26.3,87,2.1,4.2
389,24-12-2012,26,86,11.1,2
390,25-12-2012,26.7,86,23,3.2
391,26-12-2012,26.9,82,11.5,4
392,27-12-2012,28.5,78,11.9,8
393,28-12-2012,26.8,82,12,1
394,29-12-2012,26.5,86,1.6,3.3
395,30-12-2012,27.1,82,1.2,6.5
396,31-12-2012,26.2,87,2,1
397,01-01-2013,26.3,86,2.7,2.7
398,02-01-2013,26.4,85,14.8,1.1
399,03-01-2013,26.5,87,2.2,4.4
400,04-01-2013,26.4,83,15.2,1.8
401,05-01-2013,26.1,83,9.8,1.9
402,06-01-2013,25.3,89,11.8,1.3
403,07-01-2013,26.3,87,6.2,0.8
404,08-01-2013,25.2,92,39.9,2
405,09-01-2013,24.1,96,44.6,2
406,10-01-2013,25.8,84,10.6,4.2
407,11-01-2013,26.7,81,1.5,2.4
408,12-01-2013,25.8,80,57.7,3.2
409,13-01-2013,25.5,90,23.6,1.3
410,14-01-2013,26.9,85,46,2
411,15-01-2013,24.4,92,27.5,0.2
412,16-01-2013,26,90,50.4,2.1
413,17-01-2013,25.1,95,16.5,2.2
414,18-01-2013,26,91,1,2.2
415,19-01-2013,26.6,84,15.7,2.3
416,20-01-2013,26,86,0.2,1.4
417,21-01-2013,26.6,86,16.2,5.5
418,22-01-2013,26,90,17.6,0.9
419,23-01-2013,23.6,97,36.4,3.4
420,24-01-2013,27,84,16.8,2.4
421,25-01-2013,25.8,90,0.7,2.5
422,26-01-2013,25.9,84,17.3,3.4
423,27-01-2013,26.5,82,13.6,3.6
424,28-01-2013,26.2,86,4,3
425,29-01-2013,26.8,84,17.9,4.4
426,30-01-2013,26.8,79,18.4,3
427,31-01-2013,26.3,86,33.3,5.2
428,01-02-2013,27,83,9,0.8
429,02-02-2013,25.5,92,5.3,0.1
430,03-02-2013,25.6,86,0.7,1.1
431,04-02-2013,25.9,88,53.2,6.2
432,05-02-2013,25.8,90,39,3.2
433,06-02-2013,26.5,83,5,1.9
434,07-02-2013,26.2,87,1.5,4.8
435,08-02-2013,27.2,79,9.3,6.5
436,09-02-2013,26.8,85,3,5.6
437,10-02-2013,26.2,85,15.6,6.8
438,11-02-2013,26.8,84,9.6,2.9
439,12-02-2013,26.2,87,16.3,1.5
440,13-02-2013,26.3,85,10,7.8
441,14-02-2013,25.3,91,11.3,1.1
442,15-02-2013,25.9,88,0.2,7
443,16-02-2013,26.3,85,12,3.3
444,17-02-2013,25.3,88,4.6,0.4
445,18-02-2013,26.1,82,2.3,0.5
