,Tanggal,RH_avg,Tavg,RR,ss
633,25-08-2013,25.6,75,7.5,8
634,26-08-2013,26.9,67,7.7,8
635,27-08-2013,25.9,76,7.9,8
636,28-08-2013,26.8,77,8.2,5.5
637,29-08-2013,27.4,78,8.5,5.7
638,30-08-2013,25.5,89,11.8,4.4
639,31-08-2013,26.5,86,3.8,4.8
640,01-09-2013,22.6,65.6,1.3,1.5
641,02-09-2013,27,82,1.4,7
642,03-09-2013,26.6,82,1.4,6.8
643,04-09-2013,23.4,67.8,1.5,5.2
644,05-09-2013,24.1,70,1.5,5.4
645,06-09-2013,26.9,85,1,4
646,07-09-2013,27,80,1.6,5.6
647,08-09-2013,26.6,85,1.6,4.8
648,09-09-2013,24.2,72.4,1.7,6.7
649,10-09-2013,26.8,79,1.7,7
650,11-09-2013,26.4,76,1.8,7.4
651,12-09-2013,27.8,70,1.9,8
652,13-09-2013,26.8,78,5.6,7.2
653,14-09-2013,26.1,87,7.1,7.7
654,15-09-2013,27,78,1.9,6.4
655,16-09-2013,25.6,86,18.6,1
656,17-09-2013,26,85,2,5.3
657,18-09-2013,26.7,81,2,6.5
658,19-09-2013,26.9,82,7.6,3.1
659,20-09-2013,26.5,81,0.2,4.3
660,21-09-2013,27.8,79,2.1,8
661,22-09-2013,27.3,77,2.2,7.6
662,23-09-2013,28.2,70,2.3,5.7
663,24-09-2013,27.5,68,2.3,8
664,25-09-2013,28.2,74,2.4,7.8
665,26-09-2013,27.5,77,2.5,8
666,27-09-2013,27.5,76,2.6,5.8
667,28-09-2013,27.2,80,2.7,9.2
668,29-09-2013,25.7,74.8,2.8,3.5
669,30-09-2013,29.7,71,2.8,4.3
670,01-10-2013,27.5,76,2.9,5.1
671,02-10-2013,26.7,84,1,3.8
672,03-10-2013,27.2,80,3,7.6
673,04-10-2013,27.6,72,3.1,7.3
674,05-10-2013,26.7,80,3.3,7.9
675,06-10-2013,27.8,76,3.2,7.4
676,07-10-2013,26.1,76,3.3,3.5
677,08-10-2013,26.2,82,3.4,6.3
678,09-10-2013,26.9,75,3.6,7.3
679,10-10-2013,27.7,65,3.7,6.2
680,11-10-2013,27,76,3.8,6.5
681,12-10-2013,27,80,33.9,6.3
682,13-10-2013,26.8,80,3.9,3
683,14-10-2013,26.8,78,4,7.5
684,15-10-2013,28.6,69,4.2,7.6
685,16-10-2013,27.9,72,4.3,6.9
686,17-10-2013,29.1,69,4.4,8
687,18-10-2013,26.1,85,3.6,2.5
688,19-10-2013,27,79,8.3,6.9
689,20-10-2013,26.8,82,13.5,4.2
690,21-10-2013,26,82,0.3,7.2
691,22-10-2013,26.3,82,4.6,5.6
692,23-10-2013,26.5,80,4.7,3.9
693,24-10-2013,26.9,76,4.9,4.6
694,25-10-2013,26.4,80,4,5.1
695,26-10-2013,25.6,88,5,4.2
696,27-10-2013,26.8,84,2.9,5.9
697,28-10-2013,25.2,90,1.4,5.4
698,29-10-2013,24.7,87,4.9,3.5
699,30-10-2013,25.6,91,14.1,3.4
700,31-10-2013,24.6,92,5.2,3.6
701,01-11-2013,25.7,84,16.4,3.3
702,02-11-2013,27,81,7,7.1
703,03-11-2013,28,77,21.4,5.7
704,04-11-2013,26.9,84,7.3,2.6
705,05-11-2013,26.3,84,18.8,2.6
706,06-11-2013,27.1,81,7.5,6.1
707,07-11-2013,26.5,84,23.8,4.6
708,08-11-2013,24.9,91,19.2,3.5
709,09-11-2013,26.1,84,7.8,1
710,10-11-2013,24.9,90,2,4.6
711,11-11-2013,26.8,83,2.5,5
712,12-11-2013,25.9,85,20.2,4.8
713,13-11-2013,24.1,96,23.1,3
714,14-11-2013,24.3,96,37.8,3.8
715,15-11-2013,25.3,91,10,4.8
716,16-11-2013,25.8,87,11.2,1.9
717,17-11-2013,25.8,85,3.5,3.3
718,18-11-2013,26.4,86,8,5.1
719,19-11-2013,27.1,78,8.3,8
720,20-11-2013,26.2,82,8.6,4.5
721,21-11-2013,27.1,78,8.9,8
722,22-11-2013,27.3,70,9.1,8
723,23-11-2013,27.3,68,9.5,7.6
724,24-11-2013,27.5,74,9.8,5.5
725,25-11-2013,27.6,72,10.1,1
726,26-11-2013,25,88,1.1,4.7
727,27-11-2013,26.6,78,10.4,7.8
728,28-11-2013,27.1,80,10.8,4.8
729,29-11-2013,28,76,11.1,4.5
730,30-11-2013,27.3,73,11.5,7.9
731,01-12-2013,27.1,81,1,2.6
732,02-12-2013,27.2,82,7.7,2.7
733,03-12-2013,25.7,90,7.9,2.8
734,04-12-2013,26.7,82,5,1.6
735,05-12-2013,26.9,82,12.2,2.9
736,06-12-2013,27,84,1.8,5.8
737,07-12-2013,27.8,78,8.2,7.6
738,08-12-2013,26,85,4.5,3
739,09-12-2013,27,82,16.5,6
740,10-12-2013,27,82,8.5,7.6
741,11-12-2013,26,90,2,3
742,12-12-2013,26.5,84,85,5.4
743,13-12-2013,26.1,87,6,2.3
744,14-12-2013,24.7,95,13.6,3
745,15-12-2013,26.9,82,4.5,2.4
746,16-12-2013,26.8,85,13,3.3
747,17-12-2013,26,84,8.7,0.4
748,18-12-2013,26.5,81,2.3,2.7
749,19-12-2013,26.8,82,0.5,3
750,20-12-2013,25.6,83,9,3.1
751,21-12-2013,26.4,82,2.5,5.8
752,22-12-2013,24.3,95,4.7,3.2
753,23-12-2013,24.4,91,0.2,0.8
754,24-12-2013,26.1,86,1.3,1.4
755,25-12-2013,26.8,86,2.8,5.2
756,26-12-2013,27.4,82,9.3,6
757,27-12-2013,27.1,81,9.6,3.3
758,28-12-2013,26.9,79,9.9,7.3
759,29-12-2013,25.8,82,2.6,3.4
760,30-12-2013,25,89,32.3,3.5
761,31-12-2013,24.5,91,24.3,3.6
762,01-01-2014,25.1,81,8.6,0.6
763,02-01-2014,26.3,82,9.8,7.5
764,03-01-2014,26.7,90,14.5,6.3
765,04-01-2014,26.7,82,0.6,4.9
766,05-01-2014,25.4,82,0.9,2.4
767,06-01-2014,25.8,84,15,3.4
768,07-01-2014,26.2,78,0.2,3.9
769,08-01-2014,24.7,85,17.4,2.2
770,09-01-2014,27,82,15.5,5.8
771,10-01-2014,27.9,82,16,5.9
772,11-01-2014,25.2,90,17.7,3.5
773,12-01-2014,24.6,84,86,2.3
774,13-01-2014,24.9,87,16.6,0.9
775,14-01-2014,27,95,8.4,5.3
776,15-01-2014,24.5,82,33.7,0.8
777,16-01-2014,25.4,86,1.5,2.3
778,17-01-2014,25.5,88,15.7,0.4
779,18-01-2014,25.8,86,48,2.4
780,19-01-2014,25.2,89,4.5,2.5
781,20-01-2014,25.9,82,26.1,0.9
782,21-01-2014,24,95,42.4,2.6
783,22-01-2014,24.6,89,11.8,4.5
784,23-01-2014,25,86,1.5,2.7
785,24-01-2014,25.3,87,23,2.5
786,25-01-2014,25.2,84,3.5,0.6
787,26-01-2014,25.5,87,16.5,5.5
788,27-01-2014,25.3,87,30.5,1.2
789,28-01-2014,26,83,38,0.2
790,29-01-2014,25.6,85,0.6,0.2
791,30-01-2014,25,81,0.7,0.6
792,31-01-2014,24.5,86,2.3,0.2
793,01-02-2014,25.6,82,8.1,4.8
794,02-02-2014,24.9,90,37.8,2.9
795,03-02-2014,24,92,11,3
796,04-02-2014,26.2,86,11.6,1.5
797,05-02-2014,25.8,90,14,1.5
798,06-02-2014,26.3,86,0.5,2.8
799,07-02-2014,26.8,82,0.6,1.7
800,08-02-2014,25.3,93,43.9,0.3
801,09-02-2014,26.2,88,3,4.4
802,10-02-2014,26.5,82,6.1,5.4
803,11-02-2014,26.8,83,12,5.3
804,12-02-2014,27.5,85,12.4,5.9
805,13-02-2014,27.7,78,1,7.8
806,14-02-2014,26.3,79,2.7,4.1
807,15-02-2014,24.7,84,0.4,0.6
808,16-02-2014,25.9,84,12.8,0.8
809,17-02-2014,26.1,82,1.3,3.7
810,18-02-2014,26.6,86,0.1,0.6
811,19-02-2014,26.6,84,0.9,4.1
812,20-02-2014,27.2,80,1.6,5.6
813,21-02-2014,26.7,80,11,2.9
814,22-02-2014,24,96,112.5,3.1
815,23-02-2014,25.7,84,2,5.9
816,24-02-2014,25.8,83,10.5,1.2
817,25-02-2014,26.4,82,33.5,5.4
818,26-02-2014,24.6,91,12,3.2
819,27-02-2014,25.5,88,9,1
820,28-02-2014,25.7,82,0.2,4.3
821,01-03-2014,25.9,87,6,5.8
822,02-03-2014,25.5,88,6.5,5.4
823,03-03-2014,27.3,80,6.7,6.8
824,04-03-2014,27.4,79,6.9,7.4
825,05-03-2014,26.3,85,7.1,3.1
826,06-03-2014,26,84,2.5,6.3
827,07-03-2014,26.6,86,7.4,3
828,08-03-2014,25.6,86,7.6,3
829,09-03-2014,26,88,7.8,3.1
830,10-03-2014,26,89,8.1,3.2
831,11-03-2014,26.3,86,20,3.3
832,12-03-2014,25.9,87,0.5,1.5
833,13-03-2014,25.5,88,29.5,3.4
834,14-03-2014,26.6,84,8.4,3.4
835,15-03-2014,25.4,91,11,3.5
836,16-03-2014,26.9,82,8.6,3.6
837,17-03-2014,26.1,89,1,3.8
838,18-03-2014,26.1,84,8.9,3.8
839,19-03-2014,26.4,88,2,4
840,20-03-2014,27,82,12,5.8
841,21-03-2014,26.1,83,1.4,4.8
842,22-03-2014,26.5,82,18.3,4
843,23-03-2014,26.2,88,0.1,4.1
844,24-03-2014,27.2,83,9.2,5.3
845,25-03-2014,27,84,9.5,4.2
846,26-03-2014,26.2,85,9.8,4.4
847,27-03-2014,26.1,86,10.1,7.8
848,28-03-2014,27.3,80,10.4,6.5
849,29-03-2014,26.4,84,43.1,6.7
850,30-03-2014,25.8,90,48,3.5
851,31-03-2014,26.9,85,5.6,5.1
852,01-04-2014,27.1,85,6,4.3
853,02-04-2014,26.1,89,29.5,5
854,03-04-2014,26.5,87,12,5.2
855,04-04-2014,25.2,94,6.9,4
856,05-04-2014,26.9,84,0.1,6.7
857,06-04-2014,26.9,82,4.3,6.5
858,07-04-2014,27.2,80,4.5,7.2
859,08-04-2014,28.3,74,0.1,8
860,09-04-2014,27.9,76,4.6,7.1
861,10-04-2014,25,85,1.6,1.9
862,11-04-2014,25.6,86,3.2,3.6
863,12-04-2014,26.5,76,4.8,5.4
864,13-04-2014,25.8,88,20.6,3.8
865,14-04-2014,25.6,91,17,2.8
866,15-04-2014,26.5,84,0.2,2.4
867,16-04-2014,27.4,77,0.2,4.3
868,17-04-2014,27,83,4.9,6.5
869,18-04-2014,26.8,84,8,6.3
870,19-04-2014,27.5,79,5.1,5.6
871,20-04-2014,27.1,78,5.3,7.1
872,21-04-2014,26.7,80,5.4,6.4
873,22-04-2014,27.9,73,5.6,7.5
874,23-04-2014,28,76,5.8,8
875,24-04-2014,28.5,74,6,8
876,25-04-2014,28.4,73,6.2,8
877,26-04-2014,27.9,80,6.4,5.3
878,27-04-2014,26.6,83,24,4.7
879,28-04-2014,27.8,79,6.6,8
880,29-04-2014,27.7,81,6.8,6.5
881,30-04-2014,27,78,7.1,7.6
882,01-05-2014,25.8,87,2,3.7
883,02-05-2014,27,82,9.9,5.9
884,03-05-2014,26.3,86,27.2,4.5
885,04-05-2014,25.5,90,4.2,4.5
886,05-05-2014,27.7,83,5,5.1
887,06-05-2014,26.6,89,23.5,3.4
888,07-05-2014,26.8,86,2.8,6.5
889,08-05-2014,26.5,87,0.2,5.2
890,09-05-2014,28.1,80,10.2,6.7
891,10-05-2014,28.2,83,10.6,3
892,11-05-2014,27.9,83,10.9,3.4
893,12-05-2014,25.6,89,10,3.3
894,13-05-2014,27.8,80,45.6,5.5
895,14-05-2014,27.5,84,11.2,3.6
896,15-05-2014,25.6,88,15.3,4.8
897,16-05-2014,26.3,84,16.2,5.4
898,17-05-2014,26,86,32.2,2
899,18-05-2014,25,87,34.6,5.4
900,19-05-2014,26.3,88,5,5.5
901,20-05-2014,26.8,84,11.6,6.4
902,21-05-2014,27.6,82,12,7.2
903,22-05-2014,26.5,85,47,4.9
904,23-05-2014,27,83,8.8,5.2
905,24-05-2014,26.9,83,12.4,2.4
906,25-05-2014,26.9,85,12.8,7.4
907,26-05-2014,27.3,84,19.5,4.4
908,27-05-2014,26.7,86,3.5,5.7
909,28-05-2014,27.6,83,2.2,3.2
910,29-05-2014,28.1,77,13.2,8
911,30-05-2014,26.2,88,2.3,5.8
912,31-05-2014,26.1,86,13.6,4
913,01-06-2014,27.5,80,5.1,7.1
914,02-06-2014,27.5,78,10.4,5.8
915,03-06-2014,27.4,84,5.8,6.9
916,04-06-2014,27.3,83,6,5.7
917,05-06-2014,26.3,88,19.5,3.8
918,06-06-2014,27.2,87,0.2,2
919,07-06-2014,27.7,82,6.2,6.9
920,08-06-2014,27.7,80,6.4,7.6
921,09-06-2014,26.9,86,4.3,7
922,10-06-2014,27.3,85,6.6,5.8
923,11-06-2014,28.1,82,0.3,6
924,12-06-2014,28.2,84,4.5,5.5
925,13-06-2014,26.4,90,1.2,3.3
926,14-06-2014,26.2,89,39.8,2.4
927,15-06-2014,25,91,7.5,4
928,16-06-2014,27.2,81,6.9,4.1
929,17-06-2014,27.5,82,7,4.2
930,18-06-2014,27.4,85,7.3,6.2
931,19-06-2014,25.8,88,19,0.2
932,20-06-2014,27.2,84,20,5.8
933,21-06-2014,24.9,97,24.8,4.7
934,22-06-2014,26.5,84,7.6,7.8
935,23-06-2014,26.6,88,2.8,1.3
936,24-06-2014,26.5,90,1.5,4.3
937,25-06-2014,26.2,86,8,5.2
938,26-06-2014,25.7,88,7.8,4.5
939,27-06-2014,25.9,86,3.9,2.5
940,28-06-2014,26.3,84,8,1.2
941,29-06-2014,27,82,8.3,4
942,30-06-2014,27.2,82,2,3
943,01-07-2014,26.9,74,8.3,7.5
944,02-07-2014,26.2,85,5.1,4.9
945,03-07-2014,26,84,8.6,4.9
946,04-07-2014,26.6,80,8.8,5.3
947,05-07-2014,26.2,90,52,2
948,06-07-2014,26,88,14,2
949,07-07-2014,26.3,85,0.1,1.3
950,08-07-2014,26.3,87,9.1,1
951,09-07-2014,27.3,79,6,6.8
952,10-07-2014,27.6,79,9.4,6.6
953,11-07-2014,25.4,87,10.5,4
954,12-07-2014,25.9,87,32.9,3.7
955,13-07-2014,23.8,91,6.1,5.2
956,14-07-2014,25.8,74,9.7,8
957,15-07-2014,26.1,78,1,7.6
958,16-07-2014,26.3,82,4.7,6
959,17-07-2014,26.8,81,10,6.2
960,18-07-2014,25.8,92,1.7,5.3
961,19-07-2014,26.6,81,0.2,7.6
962,20-07-2014,25.7,91,57,4
963,21-07-2014,26.5,80,0.5,5.5
964,22-07-2014,26.9,82,10,6.1
965,23-07-2014,26.9,76,10.4,6.1
966,24-07-2014,25.7,83,10.7,6.3
967,25-07-2014,25.9,85,1.3,3.1
968,26-07-2014,25.5,86,49.2,5.5
969,27-07-2014,26,80,5.1,8
970,28-07-2014,26,87,11,7.5
971,29-07-2014,26.8,78,11.4,7.6
972,30-07-2014,26.8,77,11.8,7.1
973,31-07-2014,26.8,78,12.1,4.8
974,01-08-2014,27.3,78,1.9,8
975,02-08-2014,26.3,76,1.9,7.5
976,03-08-2014,27,82,2,5.5
977,04-08-2014,26,84,6.3,5.3
978,05-08-2014,26.5,78,2.1,7.7
979,06-08-2014,27.2,74,2.1,8
980,07-08-2014,26.4,78,2.2,8
981,08-08-2014,26.4,79,2.3,5.3
982,09-08-2014,26.4,78,2.3,7
983,10-08-2014,27.1,76,2.4,7
984,11-08-2014,24.9,88,45.3,4.5
985,12-08-2014,25.3,84,1.6,4.4
986,13-08-2014,26.2,79,2.5,8
987,14-08-2014,25.7,83,0.1,6.8
988,15-08-2014,26.2,79,3.2,6.3
989,16-08-2014,27,77,2.6,7.1
990,17-08-2014,26.4,76,2.7,8
991,18-08-2014,26.3,75,2.7,5.4
992,19-08-2014,26.4,75,2.8,6.3
993,20-08-2014,25.9,80,2.9,7.8
994,21-08-2014,26.1,78,3,4.4
995,22-08-2014,27.4,76,3.1,7.1
996,23-08-2014,27.2,58,3.2,5
997,24-08-2014,26.7,80,3.3,6.1
998,25-08-2014,27.4,76,3.4,6.1
999,26-08-2014,26.3,78,3.5,6.2
1000,27-08-2014,26.7,76,3.6,7.1
1001,28-08-2014,27.2,78,3.8,5.6
1002,29-08-2014,26.4,78,1.5,5
1003,30-08-2014,26.4,80,3.9,5.2
1004,31-08-2014,27.2,80,4,7
1005,01-09-2014,27,79,1.8,5.2
1006,02-09-2014,28,76,1.9,8
1007,03-09-2014,28.1,76,1.9,6.4
1008,04-09-2014,27.2,80,2,5.1
1009,05-09-2014,26.9,74,2.1,8
1010,06-09-2014,25.1,76,2.1,3
1011,07-09-2014,26.8,77,2.2,5.8
1012,08-09-2014,27.3,74,2.3,6.7
1013,09-09-2014,26.4,74,2.4,6
1014,10-09-2014,26.8,75,2.4,7.3
1015,11-09-2014,27.1,68,2.5,7
1016,12-09-2014,27,70,2.6,8
1017,13-09-2014,27,68,2.7,8
1018,14-09-2014,27.7,66,2.8,7.8
1019,15-09-2014,26.3,63,2.9,8
1020,16-09-2014,26.9,74,3,8
1021,17-09-2014,26.7,68,3.1,8
1022,18-09-2014,27.7,70,3.2,8
1023,19-09-2014,25.2,74,3.3,6.1
1024,20-09-2014,26.2,80,54.5,5
1025,21-09-2014,26.4,78,3.4,8
1026,22-09-2014,27.4,74,3.5,8
1027,23-09-2014,27,66,3.6,8
1028,24-09-2014,27.8,66,3.7,8
1029,25-09-2014,26.3,72,3.9,6.8
1030,26-09-2014,27.1,44,4,6.2
1031,27-09-2014,26.5,68,4.1,7.9
1032,28-09-2014,26.7,72,4.2,6.8
1033,29-09-2014,27.2,75,4.3,6.7
1034,30-09-2014,27.3,74,4.5,8
1035,01-10-2014,27.9,72,0.3,7.1
1036,02-10-2014,28.1,69,0.3,6.3
1037,03-10-2014,27.4,76,0.3,5.6
1038,04-10-2014,27.3,70,0.3,6.8
1039,05-10-2014,27.4,72,0.3,6.8
1040,06-10-2014,27,75,0.3,5.7
1041,07-10-2014,27.1,71,0.3,7.2
1042,08-10-2014,28.1,71,0.3,3.5
1043,09-10-2014,27.3,67,0.3,6.7
1044,10-10-2014,28.3,66,0.3,8
1045,11-10-2014,27.1,67,0.4,8
1046,12-10-2014,27.2,72,0.4,8
1047,13-10-2014,26.6,63,0.4,3.7
1048,14-10-2014,26.9,78,0.4,4.2
1049,15-10-2014,27.3,83,0.4,4.1
1050,16-10-2014,27.7,76,0.4,4.7
1051,17-10-2014,27.5,78,0.4,6.7
1052,18-10-2014,26.8,74,0.4,4.8
1053,19-10-2014,27,74,0.5,6.5
1054,20-10-2014,28.1,71,0.5,7.7
1055,21-10-2014,28.2,73,0.5,6.2
1056,22-10-2014,27.3,78,0.5,6.3
1057,23-10-2014,27.2,76,1.2,5.5
1058,24-10-2014,27.1,75,0.5,5.1
1059,25-10-2014,28.4,70,0.5,5.9
1060,26-10-2014,27.6,75,1.9,6.6
1061,27-10-2014,27.9,77,0.6,5.7
1062,28-10-2014,27.1,76,0.6,5.3
1063,29-10-2014,26.8,80,0.6,4
1064,30-10-2014,27.4,76,0.6,3.8
1065,31-10-2014,28.6,74,5,7.6
1066,01-11-2014,28.7,72,8.2,8
1067,02-11-2014,28.1,77,8.5,8
1068,03-11-2014,29.2,72,8.7,7.3
1069,04-11-2014,28.4,72,1.2,6.5
1070,05-11-2014,27.9,74,9,5.4
1071,06-11-2014,27.4,78,9.3,4
1072,07-11-2014,25.9,84,9.6,1.2
1073,08-11-2014,25.3,84,10,4.4
1074,09-11-2014,27.7,78,10.3,4.5
1075,10-11-2014,25.1,88,10.6,3.2
1076,11-11-2014,24.3,92,26.1,8
1077,12-11-2014,26.6,83,11,3
1078,13-11-2014,24.4,92,3.2,1.9
1079,14-11-2014,27.2,77,11.4,4.3
1080,15-11-2014,26.9,83,10.3,5.2
1081,16-11-2014,26.8,82,4,2.8
1082,17-11-2014,25.3,89,7.5,1
1083,18-11-2014,26.5,84,11.7,3.8
1084,19-11-2014,26.3,84,15.9,6.1
1085,20-11-2014,27.8,77,17,5.4
1086,21-11-2014,27,83,12.1,4.9
1087,22-11-2014,24.8,93,32.4,3.2
1088,23-11-2014,27.4,84,12.5,5
1089,24-11-2014,26.9,84,7.4,5.3
1090,25-11-2014,26.1,86,48.4,3.5
1091,26-11-2014,25.9,89,6.5,6.3
1092,27-11-2014,24.6,92,6.5,3.5
1093,28-11-2014,27.1,83,58.2,4.8
1094,29-11-2014,26.7,84,0.8,4.3
1095,30-11-2014,27.1,75,12.9,1.5
1096,01-12-2014,28.3,72,3.8,2.8
1097,02-12-2014,26.1,79,3.9,2.9
1098,03-12-2014,25.8,80,4.1,2.9
1099,04-12-2014,26.3,80,4.2,3
1100,05-12-2014,27.1,79,1.1,1.4
1101,06-12-2014,26.9,82,4.3,4.8
1102,07-12-2014,27,83,4.5,2
1103,08-12-2014,26.4,85,4.6,5
1104,09-12-2014,26.4,82,4.8,1
1105,10-12-2014,27,74,4.9,7.4
1106,11-12-2014,28.5,75,5.1,6.4
1107,12-12-2014,27.2,78,5.2,0.3
1108,13-12-2014,26.1,84,5.4,3.1
1109,14-12-2014,27.5,76,5.6,4.1
1110,15-12-2014,27.2,82,5,2.2
1111,16-12-2014,27.9,78,5.8,6.6
1112,17-12-2014,27.9,75,5.9,4.3
1113,18-12-2014,27.8,79,6.1,6.2
1114,19-12-2014,27.8,82,2,3.7
1115,20-12-2014,27.1,82,6.3,4
1116,21-12-2014,26.7,85,6.5,6.4
1117,22-12-2014,26.1,87,15.4,1.7
1118,23-12-2014,27.9,76,49,0.9
1119,24-12-2014,25.8,83,2.4,3.7
1120,25-12-2014,26.9,84,2.8,5.3
1121,26-12-2014,26.7,83,6.7,1.7
1122,27-12-2014,25.3,89,9.2,3.2
1123,28-12-2014,26.6,76,0.7,3.3
1124,29-12-2014,27,75,7,4.3
1125,30-12-2014,27,76,7.2,2.3
1126,31-12-2014,24.4,90,30.4,3.4
1127,01-01-2015,24.6,91,36.4,0.4
1128,02-01-2015,3.4,10.9,0.6,0.4
1129,03-01-2015,3.5,11.3,9.5,1.1
1130,04-01-2015,3.6,11.7,4.4,0.4
1131,05-01-2015,3.7,12,4.6,0.4
1132,06-01-2015,3.9,12.4,4.7,0.4
1133,07-01-2015,27,80,4.9,3.3
1134,08-01-2015,26.7,85,5,4.5
1135,09-01-2015,27.2,83,5.2,0.4
1136,10-01-2015,4,12.8,3.4,0.4
1137,11-01-2015,4.1,13.2,5.5,0.5
1138,12-01-2015,4.2,13.7,5.7,0.5
1139,13-01-2015,4.4,14.1,45.9,0.5
1140,14-01-2015,4.5,14.6,5.6,0.3
1141,15-01-2015,4.7,15,7.5,2.2
1142,16-01-2015,4.8,15.5,5.8,0.5
1143,17-01-2015,5,16,6,0.5
1144,18-01-2015,5.1,16.5,6.2,0.5
1145,19-01-2015,5.3,17.1,6.4,0.6
1146,20-01-2015,5.5,17.6,6.6,0.6
1147,21-01-2015,5.7,18.2,32,0.6
1148,22-01-2015,5.8,18.8,6.8,0.6
1149,23-01-2015,6,19.4,7.1,0.6
1150,24-01-2015,6.2,20,7.3,0.7
1151,25-01-2015,6.4,20.6,7.5,0.7
1152,26-01-2015,6.6,21.3,7.8,0.7
1153,27-01-2015,6.8,22,8,0.7
1154,28-01-2015,7.1,22.7,8.3,0.7
1155,29-01-2015,7.3,23.4,8.5,0.8
1156,30-01-2015,7.5,24.2,8.8,0.8
1157,31-01-2015,7.8,25,9.1,0.8
1158,2015-02-01 00:00:00,24,96,9.3,0.7
1159,2015-02-02 00:00:00,25.4,92,26.6,0.7
1160,2015-02-03 00:00:00,24.2,93,8.8,0.6
1161,2015-02-04 00:00:00,25.6,91,15.3,0.7
1162,2015-02-05 00:00:00,26.5,88,0.4,2.5
1163,2015-02-06 00:00:00,26.3,86,2.3,6
1164,2015-02-07 00:00:00,26.7,84,4.1,2
1165,2015-02-08 00:00:00,26,90,9.1,0.8
1166,2015-02-09 00:00:00,25.2,92,9.5,0.8
1167,2015-02-10 00:00:00,25.2,95,10.9,0.3
1168,2015-02-11 00:00:00,25.2,93,11.5,0.2
1169,2015-02-12 00:00:00,25.9,93,9.8,0.8
1170,2015-02-13 00:00:00,26.4,91,4.1,0.7
1171,2015-02-14 00:00:00,26.1,88,37.1,0.9
1172,2015-02-15 00:00:00,25.7,89,15,2.7
1173,2015-02-16 00:00:00,26.1,90,13,4.5
1174,2015-02-17 00:00:00,26.7,84,21.4,0.9
1175,2015-02-18 00:00:00,26.4,88,10.2,0.9
1176,2015-02-19 00:00:00,26.2,92,0.7,1
1177,2015-02-20 00:00:00,25.7,95,10.5,1
1178,2015-02-21 00:00:00,24.9,96,10.9,1
1179,2015-02-22 00:00:00,26.2,88,13,1.1
1180,2015-02-23 00:00:00,26.1,87,27,1.1
1181,2015-02-24 00:00:00,26.6,89,11.7,1.1
1182,2015-02-25 00:00:00,26.8,85,11.3,1.2
1183,2015-02-26 00:00:00,26.9,87,4.1,1.2
1184,2015-02-27 00:00:00,26.5,89,19.8,1.3
1185,2015-02-28 00:00:00,26.6,88,11.7,1.3
1186,01-03-2015,8.8,28.1,4.9,2.6
1187,02-03-2015,9.1,29,5,2.7
1188,03-03-2015,9.4,29.9,5.2,2.8
1189,04-03-2015,27.9,83,5.3,8.2
1190,05-03-2015,27.4,87,1.2,5.2
1191,06-03-2015,9.7,30.9,5.5,2.9
1192,07-03-2015,10,31.9,12.9,7.9
1193,08-03-2015,10.3,32.9,5.7,3
1194,09-03-2015,26.6,88,42.4,4.2
1195,10-03-2015,10.6,34,5.9,3.6
1196,11-03-2015,11,35.1,6.1,3.1
1197,12-03-2015,25.4,93,6.7,1.5
1198,13-03-2015,27.5,85,20,4.1
1199,14-03-2015,11.3,36.2,6.3,3.2
1200,15-03-2015,27.6,85,6.5,3.5
1201,16-03-2015,11.7,37.4,6.7,3.3
1202,17-03-2015,12.1,11.3,6.9,5.3
1203,18-03-2015,27,88,1.2,5.9
1204,19-03-2015,12.5,36.2,7.1,3.4
1205,20-03-2015,28.3,87,7.3,1
1206,21-03-2015,12.9,40.1,7.6,3.4
1207,22-03-2015,13.3,41.4,66,1
1208,23-03-2015,13.7,42.8,7.8,3.5
1209,24-03-2015,14.1,44.1,8.1,3.6
1210,25-03-2015,27.6,89,0.2,10
1211,26-03-2015,14.6,45.6,8.3,3.7
1212,27-03-2015,15.1,47,8.6,3.2
1213,28-03-2015,15.6,48.5,8.9,8.2
1214,29-03-2015,16.1,50.1,9.2,3.8
1215,30-03-2015,27,86,0.1,5
1216,31-03-2015,16.6,51.7,9.5,4
1217,2015-04-01 00:00:00,26.4,88,9.3,2.8
1218,2015-04-02 00:00:00,26.8,88,9.6,4.6
1219,2015-04-03 00:00:00,26.5,84,0.2,2.1
1220,2015-04-04 00:00:00,26.3,87,2.7,2.7
1221,2015-04-05 00:00:00,26.6,83,1.5,2.9
1222,2015-04-06 00:00:00,26.5,87,9.9,2.9
1223,2015-04-07 00:00:00,26.5,88,10.2,3
1224,2015-04-08 00:00:00,25.9,87,6.3,3.1
1225,2015-04-09 00:00:00,27.7,79,10.6,3.2
1226,2015-04-10 00:00:00,27.8,79,5.5,7.6
1227,2015-04-11 00:00:00,28.2,80,10.9,3.3
1228,2015-04-12 00:00:00,27.4,88,4.2,4.3
1229,2015-04-13 00:00:00,26.9,89,11.3,6
1230,2015-04-14 00:00:00,27.5,84,11.7,3.4
1231,2015-04-15 00:00:00,28.1,83,12,3.5
1232,2015-04-16 00:00:00,26.3,88,12.4,3.5
1233,2015-04-17 00:00:00,26.7,85,0.1,2.1
1234,2015-04-18 00:00:00,27.1,86,8,6.5
1235,2015-04-19 00:00:00,26.5,89,12.9,5.7
1236,2015-04-20 00:00:00,26.4,89,14,7
1237,2015-04-21 00:00:00,27.5,86,64.9,5.5
